962.00,24.47,0.66,-0.09,1.03
962.10,24.47,0.34,0.00,0.90
961.60,24.48,-0.75,0.56,1.15
961.60,24.48,-0.25,0.31,1.06
962.30,24.48,0.81,-0.25,1.12
962.00,24.48,0.28,-0.03,0.72
961.70,24.49,-0.66,0.59,1.12
961.80,24.49,-0.12,0.16,1.00
961.70,24.50,0.44,-0.16,1.25
961.70,24.50,0.25,-0.03,1.06
961.90,24.50,-0.84,0.53,0.90
961.40,24.51,-0.19,0.19,1.06
962.00,24.51,0.59,-0.22,1.37
961.80,24.51,-0.34,0.28,1.06
961.80,24.52,-0.84,0.59,0.62
961.70,24.52,0.28,-0.09,1.28
962.10,24.53,0.41,-0.09,1.22
961.70,24.52,-0.59,0.34,0.87
961.80,24.53,-0.50,0.37,0.87
961.80,24.53,0.50,-0.19,1.44
962.00,24.54,0.06,0.03,0.69
961.60,24.53,-0.81,0.53,1.03
961.80,24.54,0.25,0.00,1.25
962.30,24.54,0.53,-0.19,1.12
962.10,24.55,-0.75,0.50,1.06
961.50,24.55,-0.22,0.22,0.87
962.10,24.56,0.62,-0.25,1.37
961.90,24.56,-0.62,0.47,1.00
961.60,24.56,-0.34,0.31,0.87
962.00,24.56,0.75,-0.34,1.44
961.50,24.56,-0.22,0.22,1.00
962.30,24.57,-0.72,0.62,0.90
961.60,24.57,0.44,-0.12,1.31
962.20,24.57,0.31,-0.06,0.90
961.90,24.57,-0.66,0.56,1.12
961.80,24.57,-0.16,0.22,0.97
961.40,24.57,0.69,-0.31,1.34
962.40,24.58,-0.16,0.19,0.97
961.90,24.58,-0.72,0.62,0.87
961.60,24.58,0.53,-0.19,1.44
961.50,24.58,0.41,-0.16,0.90
962.30,24.58,-0.78,0.62,1.00
962.30,24.59,-0.28,0.28,0.81
961.90,24.59,0.66,-0.28,1.40
961.60,24.59,-0.22,0.22,0.97
961.80,24.59,-0.81,0.62,0.81
961.70,24.60,0.19,0.00,1.31
961.80,24.60,0.62,-0.22,1.37
962.20,24.60,-0.59,0.47,1.00
962.30,24.61,-0.69,0.56,0.53
961.60,24.61,0.34,-0.06,1.44
961.90,24.60,0.47,-0.16,1.22
962.00,24.62,-0.69,0.44,0.87
961.60,24.47,-0.62,0.47,0.59
961.50,24.55,0.72,-0.28,1.65
961.60,24.58,0.28,-0.12,0.97
961.80,24.60,-0.75,0.41,0.81
962.10,24.62,-0.16,0.16,0.84
962.00,24.62,0.81,-0.34,1.62
961.30,24.63,-0.37,0.25,0.87
962.10,24.64,-0.97,0.66,0.78
961.90,24.64,0.37,-0.16,1.25
962.10,24.64,0.50,-0.28,1.12
962.20,24.65,-0.87,0.50,0.94
961.30,24.66,-0.59,0.41,0.56
962.10,24.66,0.81,-0.41,1.75
961.30,24.66,-0.22,0.12,0.90
961.80,24.67,-0.72,0.50,0.78
961.80,24.67,0.69,-0.25,1.37
961.90,24.68,-0.66,0.41,0.72
962.00,24.68,0.03,0.06,1.40
961.80,24.68,-0.22,0.19,1.37
962.10,24.69,0.06,0.12,0.25
961.60,24.69,-0.03,0.12,0.84
962.10,24.68,-0.25,0.25,1.65
961.80,24.69,-0.09,0.09,1.40
961.90,24.69,-0.06,0.16,0.72
961.90,24.69,0.03,0.16,0.22
962.00,24.70,-0.12,0.19,1.84
962.30,24.69,-0.06,0.12,1.34
961.90,24.70,-0.09,0.22,0.53
961.80,24.70,-0.50,0.41,0.84
962.50,24.69,0.41,-0.03,1.68
961.50,24.69,-0.22,0.12,0.84
961.90,24.70,-0.66,0.53,0.75
961.70,24.70,0.53,-0.12,1.65
962.20,24.70,0.25,-0.06,0.75
961.90,24.70,-0.69,0.47,0.69
961.90,24.71,-0.09,0.19,1.50
961.90,24.71,0.47,-0.16,1.68
962.20,24.71,0.09,0.03,0.62
961.80,24.71,-0.53,0.47,0.69
962.30,24.71,-0.37,0.41,1.25
961.90,24.71,0.59,-0.22,1.90
962.10,24.71,-0.03,0.06,0.59
962.00,24.72,-0.53,0.47,0.72
962.20,24.72,-0.25,0.31,1.19
961.60,24.72,0.41,-0.09,1.78
961.90,24.72,0.06,0.03,0.72
961.70,24.72,-0.47,0.47,0.78
961.90,24.73,-0.12,0.31,1.34
961.70,24.73,0.34,-0.06,1.56
961.90,24.73,0.03,0.06,0.78
962.10,24.73,-0.41,0.44,0.75
962.00,24.73,-0.16,0.31,1.19
961.70,24.74,0.34,-0.06,1.59
961.80,24.74,0.03,0.09,0.75
961.80,24.73,-0.62,0.59,0.75
962.10,24.74,0.09,0.12,1.44
961.80,24.74,0.41,-0.12,1.19
961.70,24.74,-0.41,0.37,0.72
961.50,24.75,-0.66,0.56,0.81
962.40,24.74,0.50,-0.06,1.90
961.90,24.74,0.16,-0.06,0.81
961.20,24.75,-0.31,0.31,0.72
961.30,24.75,-0.50,0.44,0.94
961.80,24.75,0.41,-0.12,1.87
961.50,24.75,0.12,-0.03,0.97
961.40,24.75,-0.31,0.28,0.47
962.00,24.75,-0.47,0.44,1.03
961.40,24.75,0.53,-0.09,1.59
961.80,24.75,-0.09,0.09,0.66
961.90,24.75,-0.78,0.50,1.00
961.50,24.76,0.56,-0.09,1.65
961.90,24.76,-0.06,-0.09,0.50
961.80,24.76,-0.56,0.50,1.06
961.80,24.76,0.53,-0.19,1.78
961.20,24.76,0.16,-0.12,0.28
961.80,24.76,-0.97,0.56,0.81
961.70,24.76,0.06,0.19,1.47
962.10,24.77,0.56,-0.34,1.34
961.30,24.76,-0.72,0.25,0.53
962.00,24.77,-0.62,0.66,1.09
962.10,24.77,0.47,-0.09,1.84
961.40,24.76,-0.12,0.00,0.47
962.10,24.77,-1.06,0.78,0.59
961.80,24.77,0.00,0.19,1.72
961.60,24.77,0.34,-0.19,1.03
961.30,24.77,-0.90,0.53,0.41
962.00,24.77,-0.41,0.37,1.12
961.50,24.77,0.69,-0.34,1.65
961.50,24.77,-0.84,0.47,0.50
962.00,24.78,-0.69,0.59,0.84
962.10,24.77,0.72,-0.28,1.84
961.60,24.78,-0.06,0.00,0.66
961.80,24.78,-0.97,0.66,0.62
961.70,24.78,0.19,0.09,1.59
962.00,24.61,0.81,-0.41,1.84
961.50,24.69,-0.22,0.09,0.50
961.70,24.72,-0.84,0.72,0.62
962.00,24.74,0.31,-0.06,1.81
962.20,24.75,0.16,-0.16,1.28
961.60,24.76,-0.44,0.37,0.41
961.50,24.77,-0.78,0.69,0.78
962.20,24.77,0.37,-0.12,1.87
961.60,24.77,0.03,0.00,0.78
961.40,24.77,-0.81,0.62,0.53
962.00,24.78,-0.25,0.34,1.31
961.60,24.77,0.50,-0.22,1.62
962.00,24.78,-0.37,0.22,0.50
961.80,24.78,-0.72,0.69,0.75
962.10,24.78,0.50,-0.19,1.81
961.90,24.78,-0.03,0.03,0.81
961.80,24.79,-0.75,0.59,0.59
961.80,24.79,-0.28,0.41,1.25
962.10,24.79,0.50,-0.16,1.62
961.80,24.79,-0.16,0.12,0.66
961.30,24.80,-0.78,0.66,0.53
961.50,24.80,-0.03,0.16,1.53
962.00,24.80,0.34,-0.16,1.40
962.30,24.81,-0.28,0.22,0.44
961.50,24.81,-0.69,0.59,0.78
961.90,24.81,0.19,0.03,1.65
961.80,24.82,0.19,-0.09,1.25
962.20,24.82,-0.62,0.44,0.44
962.20,24.82,-0.69,0.56,0.78
961.80,24.82,0.59,-0.25,1.90
961.40,24.83,-0.03,0.03,0.72
961.90,24.83,-0.75,0.56,0.59
961.80,24.83,-0.28,0.34,1.34
962.00,24.84,0.50,-0.22,1.81
961.40,24.84,-0.03,0.03,0.53
961.80,24.85,-1.00,0.69,0.75
961.80,24.85,0.28,-0.06,1.90
962.50,24.85,0.34,-0.25,1.12
962.20,24.85,-0.94,0.50,0.47
961.80,24.85,-0.41,0.34,1.19
961.90,24.86,0.62,-0.31,1.62
961.90,24.86,-0.56,0.28,0.41
961.80,24.87,-0.84,0.56,0.66
961.70,24.87,0.37,-0.22,1.78
961.70,24.87,0.12,-0.19,1.03
961.80,24.88,-0.78,0.41,0.31
961.30,24.88,-0.69,0.47,1.22
962.40,24.88,0.66,-0.34,1.93
961.80,24.89,0.12,-0.06,0.50
962.00,24.89,-0.84,0.50,0.59
961.90,24.89,-0.22,0.19,1.56
961.90,24.89,0.44,-0.25,1.59
961.70,24.90,-0.16,0.03,0.44
961.80,24.90,-0.97,0.50,0.78
961.70,24.90,0.16,0.03,1.78
961.80,24.90,0.53,-0.28,1.19
961.40,24.90,-0.90,0.34,0.41
961.70,24.91,-0.81,0.50,1.03
961.80,24.90,0.44,-0.22,1.97
961.80,24.91,0.06,-0.09,0.81
961.90,24.91,-0.56,0.25,0.41
961.60,24.91,-0.75,0.50,1.22
962.20,24.92,0.41,-0.19,1.87
962.00,24.92,0.25,-0.19,0.90
961.80,24.92,-0.69,0.34,0.28
961.60,24.93,-0.72,0.44,1.19
961.90,24.93,0.50,-0.16,1.87
961.90,24.93,0.03,-0.06,0.62
962.00,24.93,-0.84,0.41,0.59
961.90,24.93,-0.50,0.31,1.37
961.50,24.93,0.47,-0.31,1.68
961.60,24.93,0.03,-0.12,0.66
961.80,24.94,-1.03,0.50,0.66
962.10,24.94,-0.25,0.25,1.50
962.30,24.94,0.47,-0.22,1.56
961.80,24.94,-0.37,0.03,0.53
961.50,24.94,-0.90,0.56,0.84
961.40,24.94,0.12,-0.03,1.68
961.60,24.94,0.25,-0.22,1.25
961.70,24.95,-0.16,0.03,0.47
961.80,24.95,-0.84,0.56,0.72
961.90,24.95,0.19,-0.03,1.72
961.40,24.95,0.25,-0.16,1.19
961.60,24.95,-0.84,0.25,0.31
962.20,24.95,-1.03,0.50,1.09
961.90,24.95,0.28,-0.03,1.90
961.60,24.96,0.06,-0.09,0.90
961.80,24.96,-0.75,0.28,0.47
962.10,24.96,-0.72,0.47,1.09
962.00,24.96,0.12,-0.06,1.78
961.80,24.96,0.12,-0.09,0.97
961.40,24.97,-0.90,0.34,0.44
961.90,24.97,-0.81,0.47,1.50
961.80,24.82,0.56,-0.31,1.81
961.80,24.90,0.16,-0.28,0.44
961.90,24.93,-1.19,0.72,0.47
961.60,24.95,-0.19,0.28,1.53
961.40,24.97,0.47,-0.31,1.28
961.60,24.97,-1.09,0.41,0.37
961.60,24.98,-0.94,0.69,1.06
961.80,24.98,0.50,-0.25,1.84
961.80,24.99,0.09,-0.25,0.53
961.50,24.99,-1.22,0.66,0.62
961.70,25.00,-0.16,0.25,1.68
961.50,25.00,0.50,-0.31,1.31
961.90,25.00,-0.94,0.25,0.50
962.00,25.00,-1.34,0.75,0.37
961.50,25.00,-0.03,0.03,2.03
961.70,25.01,0.25,-0.19,1.06
961.90,25.01,-1.25,0.59,0.19
962.00,25.01,-0.44,0.34,1.25
962.20,25.01,0.25,-0.12,1.59
961.70,25.02,-1.12,0.59,0.22
961.70,25.02,-0.56,0.31,0.59
961.70,25.02,0.25,-0.09,1.65
961.50,25.03,-0.44,0.16,0.78
962.30,25.03,-0.41,0.31,0.90
961.80,25.03,-0.31,0.25,1.03
962.10,25.03,-0.12,0.16,1.19
961.80,25.04,-0.03,0.06,1.28
961.80,25.04,-0.25,-0.16,1.34
962.00,25.04,0.00,-0.03,1.06
